seed,label,desired,placed,attempts,attemptsPerPlacement,pAccept,expectedPlaced,efficiency
12345,Items/3Items/Item_AloeVera,100,100,1352,13.52,0.13,100.0,1.00
12345,Items/3Items/Item_Geranium,100,100,1385,13.85,0.13,100.0,1.00
12345,UnderstoryPlants,300,300,1598,5.33,,0.0,0.00
12345,Ferns,260,260,1026,3.95,,0.0,0.00
12345,Trees,320,320,1257,3.93,,0.0,0.00
12345,Rocks_Small,140,140,480,3.43,,0.0,0.00
12345,Rocks_Big,2,2,5,2.50,,0.0,0.00
12345,Camps,4,4,4,1.00,,0.0,0.00
12345,Remnants,3,3,3,1.00,,3.0,1.00
12345,RemnantGuards,3,3,3,1.00,,3.0,1.00
12345,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12345,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12345,SpawnSlots,4,4,0,0.00,,4.0,1.00
12346,Items/3Items/Item_AloeVera,100,100,1598,15.98,0.13,100.0,1.00
12346,Items/3Items/Item_Geranium,100,100,1766,17.66,0.13,100.0,1.00
12346,UnderstoryPlants,300,300,1774,5.91,,0.0,0.00
12346,Ferns,260,260,964,3.71,,0.0,0.00
12346,Trees,320,320,1559,4.87,,0.0,0.00
12346,Rocks_Small,140,140,460,3.29,,0.0,0.00
12346,Rocks_Big,2,2,14,7.00,,0.0,0.00
12346,Camps,4,4,7,1.75,,0.0,0.00
12346,Remnants,3,3,3,1.00,,3.0,1.00
12346,RemnantGuards,3,3,3,1.00,,3.0,1.00
12346,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12346,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12346,SpawnSlots,4,4,0,0.00,,4.0,1.00
12347,Items/3Items/Item_AloeVera,100,100,1354,13.54,0.12,100.0,1.00
12347,Items/3Items/Item_Geranium,100,100,1803,18.03,0.12,100.0,1.00
12347,UnderstoryPlants,300,300,1713,5.71,,0.0,0.00
12347,Ferns,260,260,1186,4.56,,0.0,0.00
12347,Trees,320,320,1605,5.02,,0.0,0.00
12347,Rocks_Small,140,140,475,3.39,,0.0,0.00
12347,Rocks_Big,2,2,7,3.50,,0.0,0.00
12347,Camps,4,4,7,1.75,,0.0,0.00
12347,Remnants,3,3,3,1.00,,3.0,1.00
12347,RemnantGuards,3,3,3,1.00,,3.0,1.00
12347,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12347,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12347,SpawnSlots,4,4,0,0.00,,4.0,1.00
12348,Items/3Items/Item_AloeVera,100,100,1513,15.13,0.11,100.0,1.00
12348,Items/3Items/Item_Geranium,100,100,1510,15.10,0.11,100.0,1.00
12348,UnderstoryPlants,300,300,1795,5.98,,0.0,0.00
12348,Ferns,260,260,1018,3.92,,0.0,0.00
12348,Trees,320,320,1519,4.75,,0.0,0.00
12348,Rocks_Small,140,140,547,3.91,,0.0,0.00
12348,Rocks_Big,2,2,17,8.50,,0.0,0.00
12348,Camps,4,4,4,1.00,,0.0,0.00
12348,Remnants,3,3,3,1.00,,3.0,1.00
12348,RemnantGuards,3,3,3,1.00,,3.0,1.00
12348,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12348,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12348,SpawnSlots,4,4,0,0.00,,4.0,1.00
12349,Items/3Items/Item_AloeVera,100,100,1670,16.70,0.09,100.0,1.00
12349,Items/3Items/Item_Geranium,100,100,1782,17.82,0.09,100.0,1.00
12349,UnderstoryPlants,300,300,2283,7.61,,0.0,0.00
12349,Ferns,260,260,1355,5.21,,0.0,0.00
12349,Trees,320,320,1871,5.85,,0.0,0.00
12349,Rocks_Small,140,140,530,3.79,,0.0,0.00
12349,Rocks_Big,2,2,9,4.50,,0.0,0.00
12349,Camps,4,4,7,1.75,,0.0,0.00
12349,Remnants,3,3,3,1.00,,3.0,1.00
12349,RemnantGuards,3,3,3,1.00,,3.0,1.00
12349,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12349,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12349,SpawnSlots,4,4,0,0.00,,4.0,1.00
12350,Items/3Items/Item_AloeVera,100,100,1607,16.07,0.09,100.0,1.00
12350,Items/3Items/Item_Geranium,100,100,1832,18.32,0.09,100.0,1.00
12350,UnderstoryPlants,300,300,1648,5.49,,0.0,0.00
12350,Ferns,260,260,911,3.50,,0.0,0.00
12350,Trees,320,320,1395,4.36,,0.0,0.00
12350,Rocks_Small,140,140,522,3.73,,0.0,0.00
12350,Rocks_Big,2,2,7,3.50,,0.0,0.00
12350,Camps,4,4,16,4.00,,0.0,0.00
12350,Remnants,3,3,3,1.00,,3.0,1.00
12350,RemnantGuards,3,3,3,1.00,,3.0,1.00
12350,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12350,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12350,SpawnSlots,4,4,0,0.00,,4.0,1.00
12351,Items/3Items/Item_AloeVera,100,100,1596,15.96,0.13,100.0,1.00
12351,Items/3Items/Item_Geranium,100,100,1866,18.66,0.13,100.0,1.00
12351,UnderstoryPlants,300,300,2136,7.12,,0.0,0.00
12351,Ferns,260,260,1238,4.76,,0.0,0.00
12351,Trees,320,320,1566,4.89,,0.0,0.00
12351,Rocks_Small,140,140,545,3.89,,0.0,0.00
12351,Rocks_Big,2,2,7,3.50,,0.0,0.00
12351,Camps,4,4,5,1.25,,0.0,0.00
12351,Remnants,3,3,3,1.00,,3.0,1.00
12351,RemnantGuards,3,3,3,1.00,,3.0,1.00
12351,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12351,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12351,SpawnSlots,4,4,0,0.00,,4.0,1.00
12352,Items/3Items/Item_AloeVera,100,100,1701,17.01,0.09,100.0,1.00
12352,Items/3Items/Item_Geranium,100,100,1644,16.44,0.09,100.0,1.00
12352,UnderstoryPlants,300,300,1752,5.84,,0.0,0.00
12352,Ferns,260,260,1136,4.37,,0.0,0.00
12352,Trees,320,320,1495,4.67,,0.0,0.00
12352,Rocks_Small,140,140,548,3.91,,0.0,0.00
12352,Rocks_Big,2,2,10,5.00,,0.0,0.00
12352,Camps,4,4,6,1.50,,0.0,0.00
12352,Remnants,3,3,3,1.00,,3.0,1.00
12352,RemnantGuards,3,3,3,1.00,,3.0,1.00
12352,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12352,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12352,SpawnSlots,4,4,0,0.00,,4.0,1.00
12353,Items/3Items/Item_AloeVera,100,100,1641,16.41,0.14,100.0,1.00
12353,Items/3Items/Item_Geranium,100,100,1869,18.69,0.14,100.0,1.00
12353,UnderstoryPlants,300,300,1875,6.25,,0.0,0.00
12353,Ferns,260,260,1120,4.31,,0.0,0.00
12353,Trees,320,320,1470,4.59,,0.0,0.00
12353,Rocks_Small,140,140,594,4.24,,0.0,0.00
12353,Rocks_Big,2,2,4,2.00,,0.0,0.00
12353,Camps,4,4,15,3.75,,0.0,0.00
12353,Remnants,3,3,3,1.00,,3.0,1.00
12353,RemnantGuards,3,3,3,1.00,,3.0,1.00
12353,BrokenShipQuest,1,1,1,1.00,,1.0,1.00
12353,SpawnEntrance,1,1,1,1.00,,1.0,1.00
12353,SpawnSlots,4,4,0,0.00,,4.0,1.00
12354,Items/3Items/Item_AloeVera,100,100,1967,19.67,0.13,100.0,1.00
12354,Items/3Items/Item_Geranium,100,100,1852,18.52,0.13,100.0,1.00
12354,UnderstoryPlants,300,300,1917,6.39,,0.0,0.00
12354,Ferns,260,260,1182,4.55,,0.0,0.00
12354,Trees,320,320,1628,5.09,,0.0,0.00
12354,Rocks_Small,140,140,508,3.63,,0.0,0.00
